Player	G	raw_win_perc	min_win_perc	usg_win_perc	raw_rt_diff	min_rt_diff	usg_rt_diff	w_diff	l_diff
LeBron James	1366	0.654465592972182	0.646247674574711	0.643375804706731	16	11.8024395389425	11.727770922375	21	-5
Kevin Durant	939	0.625133120340788	0.619142832304616	0.611381201873689	15	10.4785708076154	10.2845300468422	20	-5
Damian Lillard	711	0.555555555555556	0.545387682421709	0.537668812995432	7	4.72546742538614	4.51705795087667	17	-10
John Wall	613	0.461663947797716	0.456302674972517	0.458088060298764	-5	-3.59243312568707	-3.54779849253089	10	-15
Andrew Wiggins	598	0.424749163879599	0.422860145204433	0.41706009692063	-16	-9.54279709591135	-9.65879806158739	2	-18
Bradley Beal	645	0.493023255813954	0.491435453653314	0.475203766407296	-5	-2.6798554732804	-3.02072090544679	8	-13
Russell Westbrook	1021	0.585700293829579	0.582853432700994	0.577566569432101	-2	0.822775519421862	0.706464527506216	10	-12
Joe Johnson	1277	0.519968676585748	0.512953250745999	0.51626171906223	-8	-3.68912198209603	-3.60971874250649	8	-16
James Harden	942	0.64968152866242	0.643814195922122	0.650563363928465	13	10.095354898053	10.2640840982116	19	-6
Chris Paul	1155	0.65021645021645	0.640330868529891	0.642263943968399	27	17.0082717132473	17.05659859921	26	1
Carmelo Anthony	1260	0.537301587301587	0.533242938891826	0.535743559786562	-7	-2.73541240548802	-2.67789812490909	8	-15
Anthony Davis	604	0.5	0.504013458303292	0.516290948259146	26	13.0802691660659	13.3258189651829	23	3
Stephen Curry	826	0.659806295399516	0.648460914636296	0.659577844396691	10	9.1569056098163	9.46817964310735	19	-9
DeMar DeRozan	957	0.520376175548589	0.520524550167734	0.532290010809084	-2	-0.54845989630985	-0.289619762200143	10	-12
Karl-Anthony Towns	482	0.443983402489627	0.440896120454132	0.44364197227511	20	8.81792240908263	8.8728394455022	20	0
Kyrie Irving	611	0.549918166939444	0.542129295842346	0.534559426735129	6	4.01110310021629	3.8294262416431	15	-9
Devin Booker	477	0.446540880503145	0.444748631159781	0.459418501884226	-10	-6.21553011448482	-5.89279295854703	6	-16
LaMarcus Aldridge	1076	0.587360594795539	0.589095524529551	0.602167472962465	7	5.37100601512058	5.64551693221176	14	-7
Paul George	737	0.602442333785617	0.592191415407	0.593077356936254	4	4.39697680058201	4.42001128034261	15	-11
Kemba Walker	741	0.431848852901485	0.439245894992905	0.440153313291658	2	-0.579606730184472	-0.5560138544169	14	-12
Jrue Holiday	839	0.499404052443385	0.499227091347018	0.494989868844878	-5	-2.51932271632455	-2.62525327887806	10	-15
Jimmy Butler	690	0.607246376811594	0.597515636618117	0.595413490830346	23	13.7428596422167	13.694510289098	23	0
Blake Griffin	724	0.580110497237569	0.573312059119919	0.571525516659379	6	4.61286530063823	4.57356136650633	14	-8
Klay Thompson	647	0.693972179289026	0.689018373196748	0.700986669861266	-14	-1.70748555049105	-1.37237324388457	7	-21
Victor Oladipo	462	0.46969696969697	0.463047354864276	0.452359936820589	-8	-4.73905290271448	-4.95280126358822	6	-14
Giannis Antetokounmpo	656	0.548780487804878	0.553713589959727	0.591419670163204	18	10.2891261590334	11.1940720839169	21	-3
Eric Gordon	749	0.484646194926569	0.479533369058906	0.476243077509432	-13	-6.92979924976298	-6.99889537230192	4	-17
Marc Gasol	891	0.552188552188552	0.548901500644128	0.544112266944619	9	5.52693151352669	5.426357605837	15	-6
Andre Iguodala	1223	0.599345870809485	0.578494350641107	0.54852324813631	4	3.88386441538657	3.16455795527145	14	-10
Al Horford	950	0.6	0.596561754420368	0.607880629560917	14	9.31748210608883	9.58913510946201	19	-5
Mike Conley	958	0.54384133611691	0.547880331830949	0.546751577758314	5	3.69700829577373	3.66878944395786	15	-10
Kyle Lowry	1023	0.550342130987292	0.55692166181205	0.548928570212447	9	5.92304154530124	5.72321425531118	17	-8
Zach LaVine	478	0.351464435146443	0.357142857142857	0.355474831344058	-9	-7.78571428571429	-7.82407887908666	7	-16
Harrison Barnes	747	0.526104417670683	0.511972394057989	0.495259088758511	-4	-1.76055211884021	-2.09481822482978	8	-12
Khris Middleton	651	0.539170506912442	0.537547115105828	0.548108547566549	-1	0.51377210785735	0.798930784296818	13	-14
Dwight Howard	1242	0.573268921095008	0.567580579768903	0.58186407871397	15	9.05435333468477	9.38287381042132	19	-4
Derrick Rose	672	0.544642857142857	0.545974854569338	0.544190909753864	-10	-3.8966034903359	-3.93941816590725	7	-17
Rudy Gay	1064	0.453007518796992	0.44797747814491	0.44797747814491	-6	-4.24854052452215	-4.24854052452215	9	-15
CJ McCollum	590	0.547457627118644	0.536082474226804	0.534197882895199	-8	-3.1340206185567	-3.17925081051521	8	-16
Tobias Harris	753	0.48339973439575	0.488462678352174	0.487349742717819	4	1.72310428045218	1.69639382522765	14	-10
Kawhi Leonard	576	0.744791666666667	0.734701803051318	0.727751243711104	22	16.6328432732316	16.4660298490665	23	-1
Julius Randle	518	0.386100386100386	0.398860398860399	0.412588629344469	-2	-3.22507122507123	-2.92305015442168	10	-12
Gordon Hayward	734	0.512261580381471	0.50293473499781	0.514967631337649	3	1.57336837494525	1.87419078344123	14	-11
Kevin Love	812	0.45935960591133	0.463509904739129	0.472564409200153	17	7.66072780899996	7.86898141160352	20	-3
Nikola Vučević	741	0.395411605937922	0.399842581660763	0.409403139292585	8	1.7965367965368	2.00686906443687	15	-7
Tyreke Evans	594	0.409090909090909	0.400120600811315	0.402898653711572	-7	-5.59746738296239	-5.53912827205698	7	-14
Nicolas Batum	915	0.543169398907104	0.538425859854431	0.535517845863408	0	0.999072356215213	0.923463992448599	13	-13
Wesley Matthews	898	0.541202672605791	0.529839830322533	0.525674361552489	-4	-1.2838440722592	-1.38381532274025	10	-14
Nikola Jokić	527	0.574952561669829	0.589473026973027	0.598540069143538	26	14.9684065934066	15.1678815211578	24	2
Ricky Rubio	665	0.452631578947368	0.452327718984449	0.459922292584539	0	-1.23947930640433	-1.04202039280197	13	-13
Brook Lopez	868	0.464285714285714	0.44863131370977	0.431064016291159	7	2.52399496048563	2.19021630953201	13	-6
Wilson Chandler	676	0.477810650887574	0.463741681045107	0.45466338760108	-11	-6.33394133596253	-6.54274208517515	6	-17
Rudy Gobert	611	0.576104746317512	0.602513661202186	0.621633793514949	46	25.2553005464481	25.6759434573289	34	12
Robert Covington	537	0.43389199255121	0.442826019296608	0.411496496893892	-3	-2.81500155617803	-3.53558057144048	10	-13
Danilo Gallinari	728	0.523351648351648	0.535607695486478	0.532077797847579	10	5.92580008264842	5.83402274403705	18	-8
Rajon Rondo	957	0.557993730407524	0.555477773888694	0.551565278799688	-5	-1.11305565278264	-1.2108680300078	10	-15
DeMarcus Cousins	654	0.434250764525994	0.417448357168486	0.417448357168486	2	-0.651032856630273	-0.651032856630273	11	-9
Marcus Smart	520	0.611538461538462	0.609209506587445	0.579551014944958	-9	-2.64343838801343	-3.14763274593572	4	-13
Josh Richardson	438	0.541095890410959	0.543696769738356	0.537001806380224	-8	-3.12606460523287	-3.25996387239551	6	-14
Andre Drummond	718	0.448467966573816	0.444162317205059	0.461098158525031	16	6.77157097851131	7.14415948755068	19	-3
Trevor Ariza	1118	0.543828264758497	0.546538800036418	0.546538800036418	-5	-1.42960759916239	-1.42960759916239	9	-14
Pascal Siakam	400	0.645	0.633222986164163	0.632214804172957	2	4.19735166793991	4.17315530015096	13	-11
D'Angelo Russell	424	0.382075471698113	0.386341776210324	0.387181341632198	-15	-10.3414555947419	-10.320466459195	5	-20
Darren Collison	711	0.50492264416315	0.500863972352885	0.49453473888872	3	1.51987136411635	1.37429899444056	13	-10
Thaddeus Young	1085	0.447004608294931	0.448000251738569	0.432177278591485	3	0.304005789987099	-0.0599225923958393	13	-10
Brandon Knight	451	0.343680709534368	0.343709762932667	0.345561096598035	-17	-12.4072559266833	-12.3609725850491	4	-21
Kentavious Caldwell-Pope	683	0.477306002928258	0.484328059282996	0.477174985136286	-5	-2.9231423993591	-3.11627540132028	11	-16
Buddy Hield	468	0.395299145299145	0.391297989031079	0.385233529782681	-13	-9.21755027422303	-9.36916175543297	6	-19
Bojan Bogdanović	603	0.517412935323383	0.527114967462039	0.54435266115967	-9	-3.82212581344902	-3.39118347100826	8	-17
P.J. Tucker	777	0.522522522522523	0.523479804704838	0.512575668208487	-2	-0.436484687083888	-0.698183962996306	11	-13
Jeff Green	1051	0.482397716460514	0.475643382352941	0.474399609479742	-9	-4.96277573529412	-4.98640741988491	5	-14
Aaron Gordon	528	0.452651515151515	0.456925896831631	0.452088116566461	-4	-3.03377847604085	-3.14988520240494	10	-14
Gary Harris	468	0.472222222222222	0.485008163871159	0.483608980294024	-10	-5.3298203948345	-5.36060243353146	6	-16
Myles Turner	431	0.533642691415313	0.531949268923176	0.539722109786684	6	3.63898537846353	3.79444219573367	13	-7
Jaylen Brown	403	0.617866004962779	0.602647287827667	0.606487758837602	-8	-1.94705424344666	-1.87024482324796	6	-14
Evan Fournier	645	0.432558139534884	0.423684780255467	0.417008985119506	-7	-5.1026196146352	-5.24281131249038	7	-14
Draymond Green	685	0.686131386861314	0.704869297796002	0.71403158664656	-4	4.55581752947207	4.84901077268992	14	-18
Domantas Sabonis	415	0.532530120481928	0.516981451681206	0.514731453135797	9	4.89057338866774	4.83882342212334	16	-7
Isaiah Thomas	550	0.476363636363636	0.473494827475422	0.486296714247062	0	-0.689134485639016	-0.356285429576396	13	-13
Dion Waiters	419	0.510739856801909	0.502915082382763	0.500805397554073	-25	-12.4329531051965	-12.4814758562563	-1	-24
Paul Millsap	1085	0.60184331797235	0.600190182640916	0.597996742563616	8	6.40456438338197	6.35192182152678	16	-8
Goran Dragić	888	0.542792792792793	0.529737597541746	0.538245722809691	-4	-1.40524804916508	-1.23508554380618	8	-12
Eric Bledsoe	756	0.546296296296296	0.52930542340628	0.532505176152104	-3	-0.825975261655567	-0.752380948501614	10	-13
Joakim Noah	672	0.540178571428571	0.571819352070371	0.593242292857665	17	10.1518450976185	10.6445727357263	20	-3
Serge Ibaka	903	0.653377630121816	0.646273503588181	0.651046402300873	5	5.27919656817544	5.3698816437166	12	-7
Avery Bradley	660	0.521212121212121	0.52093433230498	0.51448221797846	-23	-11.0185103569855	-11.1669089864954	0	-23
Patrick Beverley	526	0.621673003802281	0.621347768755639	0.627728732112161	2	4.15504198764661	4.3209470349162	14	-12
Greg Monroe	646	0.414860681114551	0.400848896434635	0.401919164483276	10	3.0169779286927	3.03838328966552	15	-5
George Hill	869	0.636363636363636	0.623077573094474	0.616439010582813	8	6.95386175426736	6.79453625398751	16	-8
Marcus Morris	718	0.523676880222841	0.527325073261015	0.527325073261015	-8	-3.34419824173564	-3.34419824173564	8	-16
Courtney Lee	811	0.498150431565968	0.492957746478873	0.483759502418798	-3	-1.64788732394366	-1.84105044920525	9	-12
Tim Hardaway Jr.	586	0.450511945392491	0.444844351834312	0.432722731855094	-9	-5.76857990781082	-6.04737716733283	7	-16
Jordan Clarkson	600	0.403333333333333	0.399530545432083	0.407880074727565	-14	-9.41126690963	-9.21087820653845	5	-19
Jeff Teague	826	0.558111380145279	0.562062897622163	0.557662517316965	-4	-0.510490457068085	-0.616099584392851	10	-14
Steven Adams	664	0.608433734939759	0.599202784639569	0.607371673070966	20	11.9840556927914	12.1474334614193	20	0
Tristan Thompson	730	0.46027397260274	0.465609818460752	0.446520523760483	11	4.5714650984403	4.05605414153303	19	-8
Clint Capela	471	0.62208067940552	0.629330162504954	0.6383815366201	31	18.474593737614	18.6827753422623	27	4
Elfrid Payton	500	0.418	0.39577106993425	0.391068681653696	-12	-8.084578601315	-8.17862636692608	4	-16
DeAndre Jordan	980	0.540816326530612	0.565298721129987	0.574023502622698	30	16.4365718648597	16.6285170576993	26	4
Dennis Schröder	621	0.555555555555556	0.546421839849213	0.548313116309152	-16	-7.07156320301575	-7.03373767381696	2	-18
